"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
0,0,0.1,2,0,0,-0.008,1.883,-0.008,0.883,0,0.78
0,0,0.1,2,0,1,-0.014,1.859,-0.014,0.859,0,0.738
0,0,0.1,2,1,0,-0.012,2.356,-0.012,1.356,0,1.838
0,0,0.1,2,1,1,-0.004,2.343,-0.004,1.343,0,1.802
0,0,1,1,0,0,-0.034,0.6,-0.034,-0.4,0.001,0.16
0,0,1,1,0,1,0.021,0.603,0.021,-0.397,0,0.157
0,0,1,1,1,0,1.361,0.428,1.361,-0.572,1.851,0.327
0,0,1,1,1,1,-1.367,0.431,-1.367,-0.569,1.869,0.324
0,0,1,2,0,0,0.161,0.749,0.161,-0.251,0.026,0.063
0,0,1,2,0,1,-0.061,0.743,-0.061,-0.257,0.004,0.066
0,0,1,2,1,0,-1.819,0.565,-1.819,-0.435,3.307,0.189
0,0,1,2,1,1,1.843,0.555,1.843,-0.445,3.398,0.198
0,1,0.1,1,0,0,0.016,0.964,0.016,-0.036,0,0.001
0,1,0.1,1,0,1,0,0.972,0,-0.028,0,0.001
0,1,0.1,1,1,0,-0.033,1.534,-0.033,0.534,0.001,0.285
0,1,0.1,1,1,1,-0.004,1.525,-0.004,0.525,0,0.276
0,1,0.1,2,0,0,-0.006,1.845,-0.006,0.845,0,0.713
0,1,0.1,2,0,1,0.004,1.841,0.004,0.841,0,0.707
0,1,0.1,2,1,0,-0.053,2.367,-0.053,1.367,0.003,1.87
0,1,0.1,2,1,1,0.012,2.359,0.012,1.359,0,1.846
0,1,1,1,0,0,-0.003,0.603,-0.003,-0.397,0,0.158
0,1,1,1,0,1,-0.027,0.602,-0.027,-0.398,0.001,0.158
0,1,1,1,1,0,1.376,0.399,1.376,-0.601,1.892,0.361
0,1,1,1,1,1,1.369,0.43,1.369,-0.57,1.875,0.325
0,1,1,2,0,0,-0.022,0.74,-0.022,-0.26,0.001,0.068
0,1,1,2,0,1,0.096,0.747,0.096,-0.253,0.009,0.064
0,1,1,2,1,0,1.842,0.557,1.842,-0.443,3.393,0.196
0,1,1,2,1,1,1.846,0.556,1.846,-0.444,3.408,0.197
1,-1,0.1,1,0,0,0.995,0.963,-0.005,-0.037,0,0.001
1,-1,0.1,1,0,1,0.338,1.076,-0.662,0.076,0.438,0.006
1,-1,0.1,1,1,0,1.623,0.824,0.623,-0.176,0.388,0.031
1,-1,0.1,1,1,1,0.188,1.595,-0.812,0.595,0.659,0.354
1,-1,0.1,2,0,0,2.016,1.878,1.016,0.878,1.033,0.771
1,-1,0.1,2,0,1,0.643,2.05,-0.357,1.05,0.128,1.103
1,-1,0.1,2,1,0,2.594,1.737,1.594,0.737,2.542,0.543
1,-1,0.1,2,1,1,0.466,2.543,-0.534,1.543,0.285,2.381
1,-1,1,1,0,0,0.991,0.597,-0.009,-0.403,0,0.163
1,-1,1,1,0,1,-0.088,0.588,-1.088,-0.412,1.183,0.17
1,-1,1,1,1,0,1.635,0.438,0.635,-0.562,0.403,0.316
1,-1,1,1,1,1,-1.257,0.364,-2.257,-0.636,5.095,0.405
1,-1,1,2,0,0,1.917,0.755,0.917,-0.245,0.841,0.06
1,-1,1,2,0,1,-0.607,0.609,-1.607,-0.391,2.581,0.153
1,-1,1,2,1,0,2.424,0.671,1.424,-0.329,2.027,0.108
1,-1,1,2,1,1,-1.59,0.461,-2.59,-0.539,6.707,0.291
1,0,0.1,1,0,0,1.002,0.984,0.002,-0.016,0,0
1,0,0.1,1,0,1,0.344,1.091,-0.656,0.091,0.43,0.008
1,0,0.1,1,1,0,1.626,0.837,0.626,-0.163,0.392,0.027
1,0,0.1,1,1,1,0.204,1.594,-0.796,0.594,0.634,0.353
1,0,0.1,2,0,0,2.047,1.861,1.047,0.861,1.097,0.742
1,0,0.1,2,0,1,0.684,2.077,-0.316,1.077,0.1,1.159
1,0,0.1,2,1,0,2.597,1.717,1.597,0.717,2.549,0.514
1,0,0.1,2,1,1,0.492,2.511,-0.508,1.511,0.258,2.283
1,0,1,1,0,0,1.017,0.61,0.017,-0.39,0,0.152
1,0,1,1,0,1,-0.085,0.587,-1.085,-0.413,1.177,0.17
1,0,1,1,1,0,1.65,0.441,0.65,-0.559,0.422,0.312
1,0,1,1,1,1,1.605,0.512,0.605,-0.488,0.366,0.238
1,0,1,2,0,0,2.044,0.752,1.044,-0.248,1.089,0.062
1,0,1,2,0,1,-0.529,0.618,-1.529,-0.382,2.339,0.146
1,0,1,2,1,0,2.409,0.655,1.409,-0.345,1.986,0.119
1,0,1,2,1,1,-1.581,0.46,-2.581,-0.54,6.663,0.292
1,1,0.1,1,0,0,0.995,0.969,-0.005,-0.031,0,0.001
1,1,0.1,1,0,1,0.346,1.082,-0.654,0.082,0.427,0.007
1,1,0.1,1,1,0,1.646,0.79,0.646,-0.21,0.417,0.044
