"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
0,0,0.1,2,0,0,0.003,1.848,0.003,0.848,0,0.72
0,0,0.1,2,0,1,-0.001,1.85,-0.001,0.85,0,0.722
0,0,0.1,2,1,0,-0.003,2.351,-0.003,1.351,0,1.824
0,0,0.1,2,1,1,0.006,2.353,0.006,1.353,0,1.831
0,0,1,1,0,0,-0.001,0.604,-0.001,-0.396,0,0.157
0,0,1,1,0,1,0.001,0.603,0.001,-0.397,0,0.157
0,0,1,1,1,0,-0.03,0.437,-0.03,-0.563,0.001,0.316
0,0,1,1,1,1,-0.048,0.433,-0.048,-0.567,0.002,0.322
0,0,1,2,0,0,0.005,0.739,0.005,-0.261,0,0.068
0,0,1,2,0,1,-0.017,0.741,-0.017,-0.259,0,0.067
0,0,1,2,1,0,-0.095,0.561,-0.095,-0.439,0.009,0.193
0,0,1,2,1,1,0.124,0.56,0.124,-0.44,0.015,0.193
0,1,0.1,1,0,0,0.001,0.963,0.001,-0.037,0,0.001
0,1,0.1,1,0,1,0.001,0.964,0.001,-0.036,0,0.001
0,1,0.1,1,1,0,0.001,1.528,0.001,0.528,0,0.279
0,1,0.1,1,1,1,0.003,1.53,0.003,0.53,0,0.28
0,1,0.1,2,0,0,0.002,1.851,0.002,0.851,0,0.724
0,1,0.1,2,0,1,0,1.852,0,0.852,0,0.726
0,1,0.1,2,1,0,0.001,2.351,0.001,1.351,0,1.825
0,1,0.1,2,1,1,0.004,2.351,0.004,1.351,0,1.825
0,1,1,1,0,0,0.089,0.606,0.089,-0.394,0.008,0.155
0,1,1,1,0,1,0.088,0.606,0.088,-0.394,0.008,0.155
0,1,1,1,1,0,1.316,0.423,1.316,-0.577,1.733,0.333
0,1,1,1,1,1,1.31,0.427,1.31,-0.573,1.717,0.329
0,1,1,2,0,0,0.409,0.743,0.409,-0.257,0.167,0.066
0,1,1,2,0,1,0.407,0.743,0.407,-0.257,0.165,0.066
0,1,1,2,1,0,1.723,0.558,1.723,-0.442,2.967,0.195
0,1,1,2,1,1,1.733,0.56,1.733,-0.44,3.005,0.194
1,-1,0.1,1,0,0,0.997,0.966,-0.003,-0.034,0,0.001
1,-1,0.1,1,0,1,0.342,1.086,-0.658,0.086,0.433,0.007
1,-1,0.1,1,1,0,1.634,0.831,0.634,-0.169,0.402,0.028
1,-1,0.1,1,1,1,0.203,1.597,-0.797,0.597,0.636,0.356
1,-1,0.1,2,0,0,1.992,1.853,0.992,0.853,0.984,0.727
1,-1,0.1,2,0,1,0.65,2.072,-0.35,1.072,0.122,1.149
1,-1,0.1,2,1,0,2.592,1.75,1.592,0.75,2.535,0.562
1,-1,0.1,2,1,1,0.489,2.521,-0.511,1.521,0.261,2.313
1,-1,1,1,0,0,0.826,0.615,-0.174,-0.385,0.03,0.148
1,-1,1,1,0,1,-0.133,0.579,-1.133,-0.421,1.283,0.177
1,-1,1,1,1,0,1.526,0.51,0.526,-0.49,0.276,0.24
1,-1,1,1,1,1,-1.229,0.357,-2.229,-0.643,4.968,0.413
1,-1,1,2,0,0,0.803,0.772,-0.197,-0.228,0.039,0.052
1,-1,1,2,0,1,-0.581,0.6,-1.581,-0.4,2.499,0.16
1,-1,1,2,1,0,-0.826,0.613,-1.826,-0.387,3.335,0.15
1,-1,1,2,1,1,-1.557,0.468,-2.557,-0.532,6.541,0.283
1,0,0.1,1,0,0,0.999,0.965,-0.001,-0.035,0,0.001
1,0,0.1,1,0,1,0.346,1.086,-0.654,0.086,0.428,0.007
1,0,0.1,1,1,0,1.636,0.828,0.636,-0.172,0.405,0.029
1,0,0.1,1,1,1,0.206,1.596,-0.794,0.596,0.63,0.356
1,0,0.1,2,0,0,1.995,1.851,0.995,0.851,0.991,0.724
1,0,0.1,2,0,1,0.653,2.071,-0.347,1.071,0.121,1.148
1,0,0.1,2,1,0,2.596,1.746,1.596,0.746,2.548,0.557
1,0,0.1,2,1,1,0.5,2.522,-0.5,1.522,0.25,2.317
1,0,1,1,0,0,0.909,0.607,-0.091,-0.393,0.008,0.154
1,0,1,1,0,1,-0.061,0.602,-1.061,-0.398,1.125,0.158
1,0,1,1,1,0,1.616,0.444,0.616,-0.556,0.379,0.31
1,0,1,1,1,1,-0.255,0.416,-1.255,-0.584,1.575,0.341
1,0,1,2,0,0,1.198,0.754,0.198,-0.246,0.039,0.06
1,0,1,2,0,1,-0.478,0.614,-1.478,-0.386,2.183,0.149
1,0,1,2,1,0,1.683,0.649,0.683,-0.351,0.466,0.123
1,0,1,2,1,1,-0.781,0.509,-1.781,-0.491,3.172,0.241
1,1,0.1,1,0,0,1,0.964,0,-0.036,0,0.001
1,1,0.1,1,0,1,0.347,1.085,-0.653,0.085,0.427,0.007
1,1,0.1,1,1,0,1.636,0.828,0.636,-0.172,0.405,0.03
1,1,0.1,1,1,1,0.205,1.598,-0.795,0.598,0.632,0.357
1,1,0.1,2,0,0,1.996,1.848,0.996,0.848,0.992,0.719
1,1,0.1,2,0,1,0.656,2.072,-0.344,1.072,0.118,1.149
1,1,0.1,2,1,0,2.598,1.743,1.598,0.743,2.554,0.552
1,1,0.1,2,1,1,0.503,2.522,-0.497,1.522,0.247,2.316
1,1,1,1,0,0,1.004,0.603,0.004,-0.397,0,0.157
1,1,1,1,0,1,0.128,0.661,-0.872,-0.339,0.761,0.115
1,1,1,1,1,0,1.632,0.442,0.632,-0.558,0.4,0.312
1,1,1,1,1,1,1.456,0.492,0.456,-0.508,0.208,0.258
1,1,1,2,0,0,1.599,0.744,0.599,-0.256,0.358,0.066
1,1,1,2,0,1,0.124,0.727,-0.876,-0.273,0.767,0.075
1,1,1,2,1,0,2.236,0.654,1.236,-0.346,1.528,0.119
1,1,1,2,1,1,1.986,0.65,0.986,-0.35,0.972,0.122
