"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1.011,0.979,-0.011,-0.021,0,0
-1,-1,0.1,1,0,1,-0.324,1.07,0.676,0.07,0.457,0.005
-1,-1,0.1,1,1,0,-1.652,0.821,-0.652,-0.179,0.425,0.032
-1,-1,0.1,1,1,1,-0.201,1.609,0.799,0.609,0.638,0.371
-1,-1,0.1,2,0,0,-1.991,1.851,-0.991,0.851,0.981,0.725
-1,-1,0.1,2,0,1,-0.649,2.035,0.351,1.035,0.123,1.072
-1,-1,0.1,2,1,0,-2.588,1.778,-1.588,0.778,2.523,0.606
-1,-1,0.1,2,1,1,-0.478,2.515,0.522,1.515,0.273,2.295
-1,-1,1,1,0,0,-1.021,0.602,-0.021,-0.398,0,0.158
-1,-1,1,1,0,1,0.077,0.563,1.077,-0.437,1.16,0.191
-1,-1,1,1,1,0,-1.64,0.437,-0.64,-0.563,0.409,0.317
-1,-1,1,1,1,1,-1.614,0.482,-0.614,-0.518,0.377,0.268
-1,-1,1,2,0,0,-1.68,0.748,-0.68,-0.252,0.463,0.063
-1,-1,1,2,0,1,0.462,0.604,1.462,-0.396,2.139,0.157
-1,-1,1,2,1,0,-2.535,0.679,-1.535,-0.321,2.356,0.103
-1,-1,1,2,1,1,-2.417,0.672,-1.417,-0.328,2.008,0.108
-1,0,0.1,1,0,0,-0.999,0.977,0.001,-0.023,0,0.001
-1,0,0.1,1,0,1,-0.317,1.039,0.683,0.039,0.467,0.002
-1,0,0.1,1,1,0,-1.641,0.837,-0.641,-0.163,0.411,0.027
-1,0,0.1,1,1,1,-0.21,1.595,0.79,0.595,0.625,0.354
-1,0,0.1,2,0,0,-2.004,1.873,-1.004,0.873,1.007,0.763
-1,0,0.1,2,0,1,-0.662,2.067,0.338,1.067,0.115,1.138
-1,0,0.1,2,1,0,-2.602,1.799,-1.602,0.799,2.568,0.639
-1,0,0.1,2,1,1,-0.463,2.55,0.537,1.55,0.288,2.403
-1,0,1,1,0,0,-0.986,0.597,0.014,-0.403,0,0.162
-1,0,1,1,0,1,0.029,0.57,1.029,-0.43,1.059,0.185
-1,0,1,1,1,0,-1.644,0.438,-0.644,-0.562,0.414,0.316
-1,0,1,1,1,1,1.25,0.343,2.25,-0.657,5.063,0.432
-1,0,1,2,0,0,-1.793,0.754,-0.793,-0.246,0.629,0.06
-1,0,1,2,0,1,0.429,0.604,1.429,-0.396,2.042,0.157
-1,0,1,2,1,0,-2.381,0.666,-1.381,-0.334,1.908,0.112
-1,0,1,2,1,1,1.585,0.479,2.585,-0.521,6.683,0.271
-1,1,0.1,1,0,0,-0.986,0.969,0.014,-0.031,0,0.001
-1,1,0.1,1,0,1,-0.298,1.049,0.702,0.049,0.492,0.002
-1,1,0.1,1,1,0,-1.629,0.837,-0.629,-0.163,0.395,0.026
-1,1,0.1,1,1,1,-0.218,1.603,0.782,0.603,0.611,0.364
-1,1,0.1,2,0,0,-2.027,1.867,-1.027,0.867,1.056,0.752
-1,1,0.1,2,0,1,-0.624,2.035,0.376,1.035,0.141,1.071
-1,1,0.1,2,1,0,-2.574,1.79,-1.574,0.79,2.477,0.625
-1,1,0.1,2,1,1,-0.49,2.55,0.51,1.55,0.26,2.401
-1,1,1,1,0,0,-0.997,0.62,0.003,-0.38,0,0.144
-1,1,1,1,0,1,0.049,0.558,1.049,-0.442,1.101,0.196
-1,1,1,1,1,0,-1.632,0.446,-0.632,-0.554,0.399,0.307
-1,1,1,1,1,1,1.256,0.341,2.256,-0.659,5.091,0.434
-1,1,1,2,0,0,-1.724,0.749,-0.724,-0.251,0.524,0.063
-1,1,1,2,0,1,0.434,0.61,1.434,-0.39,2.056,0.152
-1,1,1,2,1,0,1.519,0.59,2.519,-0.41,6.344,0.168
-1,1,1,2,1,1,1.574,0.455,2.574,-0.545,6.625,0.297
0,-1,0.1,1,0,0,0.016,0.977,0.016,-0.023,0,0.001
0,-1,0.1,1,0,1,0.001,0.964,0.001,-0.036,0,0.001
0,-1,0.1,1,1,0,0.009,1.544,0.009,0.544,0,0.296
0,-1,0.1,1,1,1,-0.015,1.537,-0.015,0.537,0,0.289
0,-1,0.1,2,0,0,-0.029,1.84,-0.029,0.84,0.001,0.705
0,-1,0.1,2,0,1,0.007,1.858,0.007,0.858,0,0.736
0,-1,0.1,2,1,0,-0.015,2.333,-0.015,1.333,0,1.778
0,-1,0.1,2,1,1,0.024,2.356,0.024,1.356,0.001,1.839
0,-1,1,1,0,0,-0.005,0.605,-0.005,-0.395,0,0.156
0,-1,1,1,0,1,0.024,0.609,0.024,-0.391,0.001,0.153
0,-1,1,1,1,0,-1.369,0.408,-1.369,-0.592,1.873,0.351
0,-1,1,1,1,1,-1.376,0.415,-1.376,-0.585,1.893,0.342
0,-1,1,2,0,0,-0.221,0.741,-0.221,-0.259,0.049,0.067
0,-1,1,2,0,1,-0.072,0.751,-0.072,-0.249,0.005,0.062
0,-1,1,2,1,0,-1.825,0.564,-1.825,-0.436,3.331,0.19
0,-1,1,2,1,1,-1.79,0.545,-1.79,-0.455,3.206,0.207
0,0,0.1,1,0,0,-0.001,0.981,-0.001,-0.019,0,0
0,0,0.1,1,0,1,0.006,0.965,0.006,-0.035,0,0.001
0,0,0.1,1,1,0,0.02,1.529,0.02,0.529,0,0.28
0,0,0.1,1,1,1,0,1.541,0,0.541,0,0.293
0,0,0.1,2,0,0,0.013,1.833,0.013,0.833,0,0.694
0,0,0.1,2,0,1,0.002,1.866,0.002,0.866,0,0.749
0,0,0.1,2,1,0,-0.03,2.367,-0.03,1.367,0.001,1.869
0,0,0.1,2,1,1,-0.014,2.368,-0.014,1.368,0,1.871
0,0,1,1,0,0,-0.022,0.597,-0.022,-0.403,0,0.162
0,0,1,1,0,1,0.004,0.6,0.004,-0.4,0,0.16
0,0,1,1,1,0,-1.364,0.439,-1.364,-0.561,1.86,0.314
0,0,1,1,1,1,-1.364,0.421,-1.364,-0.579,1.86,0.335
0,0,1,2,0,0,-0.081,0.74,-0.081,-0.26,0.006,0.067
0,0,1,2,0,1,-0.123,0.741,-0.123,-0.259,0.015,0.067
0,0,1,2,1,0,-1.82,0.565,-1.82,-0.435,3.311,0.189
0,0,1,2,1,1,1.829,0.562,1.829,-0.438,3.345,0.192
0,1,0.1,1,0,0,-0.007,0.974,-0.007,-0.026,0,0.001
0,1,0.1,1,0,1,0.013,0.965,0.013,-0.035,0,0.001
0,1,0.1,1,1,0,0.002,1.532,0.002,0.532,0,0.284
0,1,0.1,1,1,1,-0.028,1.535,-0.028,0.535,0.001,0.286
0,1,0.1,2,0,0,-0.005,1.873,-0.005,0.873,0,0.762
0,1,0.1,2,0,1,0.029,1.838,0.029,0.838,0.001,0.702
0,1,0.1,2,1,0,0.024,2.347,0.024,1.347,0.001,1.815
0,1,0.1,2,1,1,0.024,2.344,0.024,1.344,0.001,1.806
0,1,1,1,0,0,-0.014,0.601,-0.014,-0.399,0,0.159
0,1,1,1,0,1,-0.019,0.604,-0.019,-0.396,0,0.157
0,1,1,1,1,0,1.377,0.409,1.377,-0.591,1.896,0.349
0,1,1,1,1,1,1.365,0.429,1.365,-0.571,1.864,0.326
0,1,1,2,0,0,0.146,0.747,0.146,-0.253,0.021,0.064
0,1,1,2,0,1,0.01,0.741,0.01,-0.259,0,0.067
0,1,1,2,1,0,1.846,0.558,1.846,-0.442,3.408,0.195
0,1,1,2,1,1,1.866,0.567,1.866,-0.433,3.483,0.187
1,-1,0.1,1,0,0,0.995,0.969,-0.005,-0.031,0,0.001
1,-1,0.1,1,0,1,0.359,1.103,-0.641,0.103,0.411,0.011
1,-1,0.1,1,1,0,1.628,0.816,0.628,-0.184,0.395,0.034
1,-1,0.1,1,1,1,0.221,1.589,-0.779,0.589,0.606,0.347
1,-1,0.1,2,0,0,1.976,1.888,0.976,0.888,0.952,0.789
