"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
0,0,0.1,2,0,0,0.003,1.854,0.003,0.854,0,0.728
0,0,0.1,2,0,1,0.001,1.854,0.001,0.854,0,0.729
0,0,0.1,2,1,0,-0.003,2.356,-0.003,1.356,0,1.838
0,0,0.1,2,1,1,-0.003,2.357,-0.003,1.357,0,1.842
0,0,1,1,0,0,-0.009,0.602,-0.009,-0.398,0,0.158
0,0,1,1,0,1,-0.004,0.603,-0.004,-0.397,0,0.158
0,0,1,1,1,0,0.012,0.434,0.012,-0.566,0,0.32
0,0,1,1,1,1,-0.054,0.434,-0.054,-0.566,0.003,0.321
0,0,1,2,0,0,-0.013,0.741,-0.013,-0.259,0,0.067
0,0,1,2,0,1,0.01,0.74,0.01,-0.26,0,0.068
0,0,1,2,1,0,0.115,0.559,0.115,-0.441,0.013,0.195
0,0,1,2,1,1,-0.029,0.559,-0.029,-0.441,0.001,0.194
0,1,0.1,1,0,0,0.001,0.965,0.001,-0.035,0,0.001
0,1,0.1,1,0,1,0.002,0.965,0.002,-0.035,0,0.001
0,1,0.1,1,1,0,0.005,1.531,0.005,0.531,0,0.282
0,1,0.1,1,1,1,0.002,1.531,0.002,0.531,0,0.282
0,1,0.1,2,0,0,0.004,1.854,0.004,0.854,0,0.729
0,1,0.1,2,0,1,0.003,1.855,0.003,0.855,0,0.731
0,1,0.1,2,1,0,0.002,2.357,0.002,1.357,0,1.841
0,1,0.1,2,1,1,0.002,2.357,0.002,1.357,0,1.842
0,1,1,1,0,0,0.091,0.606,0.091,-0.394,0.008,0.155
0,1,1,1,0,1,0.083,0.606,0.083,-0.394,0.007,0.155
0,1,1,1,1,0,1.298,0.424,1.298,-0.576,1.684,0.332
0,1,1,1,1,1,1.294,0.423,1.294,-0.577,1.675,0.333
0,1,1,2,0,0,0.423,0.743,0.423,-0.257,0.179,0.066
0,1,1,2,0,1,0.428,0.745,0.428,-0.255,0.184,0.065
0,1,1,2,1,0,1.757,0.556,1.757,-0.444,3.088,0.197
0,1,1,2,1,1,1.752,0.559,1.752,-0.441,3.069,0.195
1,-1,0.1,1,0,0,0.996,0.967,-0.004,-0.033,0,0.001
1,-1,0.1,1,0,1,0.342,1.088,-0.658,0.088,0.433,0.008
1,-1,0.1,1,1,0,1.633,0.834,0.633,-0.166,0.401,0.028
1,-1,0.1,1,1,1,0.197,1.599,-0.803,0.599,0.644,0.359
1,-1,0.1,2,0,0,1.993,1.854,0.993,0.854,0.986,0.73
1,-1,0.1,2,0,1,0.654,2.076,-0.346,1.076,0.12,1.157
1,-1,0.1,2,1,0,2.593,1.753,1.593,0.753,2.537,0.566
1,-1,0.1,2,1,1,0.486,2.524,-0.514,1.524,0.265,2.323
1,-1,1,1,0,0,0.829,0.615,-0.171,-0.385,0.029,0.149
1,-1,1,1,0,1,-0.135,0.578,-1.135,-0.422,1.287,0.178
1,-1,1,1,1,0,1.523,0.511,0.523,-0.489,0.274,0.239
1,-1,1,1,1,1,-1.237,0.354,-2.237,-0.646,5.005,0.417
1,-1,1,2,0,0,0.794,0.773,-0.206,-0.227,0.042,0.052
1,-1,1,2,0,1,-0.579,0.599,-1.579,-0.401,2.493,0.161
1,-1,1,2,1,0,-0.847,0.612,-1.847,-0.388,3.41,0.151
1,-1,1,2,1,1,-1.565,0.466,-2.565,-0.534,6.58,0.285
1,0,0.1,1,0,0,0.997,0.965,-0.003,-0.035,0,0.001
1,0,0.1,1,0,1,0.343,1.087,-0.657,0.087,0.431,0.008
1,0,0.1,1,1,0,1.636,0.829,0.636,-0.171,0.404,0.029
1,0,0.1,1,1,1,0.206,1.599,-0.794,0.599,0.631,0.359
1,0,0.1,2,0,0,1.995,1.856,0.995,0.856,0.99,0.732
1,0,0.1,2,0,1,0.655,2.076,-0.345,1.076,0.119,1.158
1,0,0.1,2,1,0,2.596,1.751,1.596,0.751,2.546,0.564
1,0,0.1,2,1,1,0.502,2.527,-0.498,1.527,0.248,2.332
1,0,1,1,0,0,0.909,0.606,-0.091,-0.394,0.008,0.156
1,0,1,1,0,1,-0.068,0.598,-1.068,-0.402,1.142,0.161
1,0,1,1,1,0,1.615,0.441,0.615,-0.559,0.378,0.312
1,0,1,1,1,1,-0.219,0.416,-1.219,-0.584,1.485,0.342
1,0,1,2,0,0,1.18,0.756,0.18,-0.244,0.032,0.06
1,0,1,2,0,1,-0.467,0.616,-1.467,-0.384,2.153,0.148
1,0,1,2,1,0,1.766,0.65,0.766,-0.35,0.586,0.123
1,0,1,2,1,1,-0.578,0.518,-1.578,-0.482,2.49,0.232
1,1,0.1,1,0,0,0.999,0.965,-0.001,-0.035,0,0.001
1,1,0.1,1,0,1,0.346,1.087,-0.654,0.087,0.428,0.008
1,1,0.1,1,1,0,1.637,0.828,0.637,-0.172,0.406,0.03
1,1,0.1,1,1,1,0.21,1.6,-0.79,0.6,0.625,0.36
1,1,0.1,2,0,0,1.996,1.853,0.996,0.853,0.993,0.728
1,1,0.1,2,0,1,0.658,2.074,-0.342,1.074,0.117,1.153
1,1,0.1,2,1,0,2.599,1.748,1.599,0.748,2.557,0.56
1,1,0.1,2,1,1,0.498,2.526,-0.502,1.526,0.252,2.327
1,1,1,1,0,0,0.999,0.603,-0.001,-0.397,0,0.158
1,1,1,1,0,1,0.12,0.661,-0.88,-0.339,0.774,0.115
1,1,1,1,1,0,1.63,0.439,0.63,-0.561,0.397,0.314
1,1,1,1,1,1,1.501,0.491,0.501,-0.509,0.251,0.259
1,1,1,2,0,0,1.587,0.744,0.587,-0.256,0.345,0.066
1,1,1,2,0,1,0.086,0.723,-0.914,-0.277,0.835,0.077
1,1,1,2,1,0,2.227,0.654,1.227,-0.346,1.505,0.12
1,1,1,2,1,1,2.008,0.652,1.008,-0.348,1.015,0.121
