"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
0,0,0.1,2,0,0,0.003,1.857,0.003,0.857,0,0.734
0,0,0.1,2,0,1,0.002,1.854,0.002,0.854,0,0.729
0,0,0.1,2,1,0,-0.005,2.355,-0.005,1.355,0,1.837
0,0,0.1,2,1,1,-0.002,2.355,-0.002,1.355,0,1.837
0,0,1,1,0,0,-0.002,0.603,-0.002,-0.397,0,0.158
0,0,1,1,0,1,0,0.603,0,-0.397,0,0.158
0,0,1,1,1,0,-0.019,0.433,-0.019,-0.567,0,0.321
0,0,1,1,1,1,-0.017,0.431,-0.017,-0.569,0,0.324
0,0,1,2,0,0,0.015,0.74,0.015,-0.26,0,0.067
0,0,1,2,0,1,0.015,0.74,0.015,-0.26,0,0.068
0,0,1,2,1,0,0.028,0.559,0.028,-0.441,0.001,0.195
0,0,1,2,1,1,0.001,0.559,0.001,-0.441,0,0.194
0,1,0.1,1,0,0,0.002,0.965,0.002,-0.035,0,0.001
0,1,0.1,1,0,1,0.001,0.966,0.001,-0.034,0,0.001
0,1,0.1,1,1,0,0,1.532,0,0.532,0,0.283
0,1,0.1,1,1,1,0.004,1.532,0.004,0.532,0,0.283
0,1,0.1,2,0,0,0.002,1.852,0.002,0.852,0,0.726
0,1,0.1,2,0,1,0.001,1.855,0.001,0.855,0,0.73
0,1,0.1,2,1,0,0.002,2.355,0.002,1.355,0,1.836
0,1,0.1,2,1,1,0.002,2.355,0.002,1.355,0,1.836
0,1,1,1,0,0,0.088,0.606,0.088,-0.394,0.008,0.155
0,1,1,1,0,1,0.089,0.606,0.089,-0.394,0.008,0.155
0,1,1,1,1,0,1.303,0.423,1.303,-0.577,1.697,0.333
0,1,1,1,1,1,1.305,0.423,1.305,-0.577,1.704,0.332
0,1,1,2,0,0,0.41,0.743,0.41,-0.257,0.168,0.066
0,1,1,2,0,1,0.401,0.743,0.401,-0.257,0.16,0.066
0,1,1,2,1,0,1.753,0.559,1.753,-0.441,3.073,0.195
0,1,1,2,1,1,1.731,0.559,1.731,-0.441,2.996,0.195
1,-1,0.1,1,0,0,0.996,0.969,-0.004,-0.031,0,0.001
1,-1,0.1,1,0,1,0.343,1.088,-0.657,0.088,0.431,0.008
1,-1,0.1,1,1,0,1.634,0.832,0.634,-0.168,0.402,0.028
1,-1,0.1,1,1,1,0.2,1.6,-0.8,0.6,0.639,0.36
